"","x"
"1628","35673"
"1629","36783"
"1630","94945"
"1631","20037"
"1632","94303"
"1633","67547"
"1634","67651"
"1635","66536"
"1636","08067"
"1637","11570"
"1638","89005"
"1639","07306"
"1640","35766"
"1641","36551"
"1642","85087"
"1643","94971"
"1644","04760"
"1645","68730"
"1646","02649"
"1647","02852"
"1648","12722"
"1649","08088"
"1650","15411"
"1651","36583"
"1652","15530"
"1653","92675"
"1654","62914"
"1655","20837"
"1656","20664"
"1657","15545"
"1658","02861"
"1659","11221"
"1660","07401"
"1661","79934"
"1662","15478"
"1663","35651"
"1664","36607"
"1665","19958"
"1666","32541"
"1667","34138"
"1668","32227"
"1669","33764"
"1670","60555"
"1671","11421"
"1672","21626"
"1673","04619"
"1674","64501"
"1675","28383"
"1676","13068"
"1677","36435"
"1678","35754"
"1679","85043"
"1680","85020"
"1681","95628"
"1682","11416"
"1683","95821"
"1684","30582"
"1685","47712"
"1686","38326"
"1687","38672"
"1688","20748"
"1689","37724"
"1690","13865"
"1691","29642"
"1692","01105"
"1693","11042"
"1694","01103"
"1695","48893"
"1696","47802"
"1697","32439"
"1698","64426"
"1699","10464"
"1700","13622"
"1701","13640"
"1702","13693"
"1703","22831"
"1704","59301"
"1705","98040"
"1706","25113"
"1707","60045"
"1708","62423"
"1709","06339"
"1710","33981"
"1711","33896"
"1712","49302"
"1713","56164"
"1714","14131"
"1715","59808"
"1716","55609"
"1717","43754"
"1718","58783"
"1719","98166"
"1720","05081"
"1721","26203"
"1722","99321"
"1723","13636"
"1724","69129"
"1725","04009"
"1726","59054"
"1727","05079"
"1728","06078"
"1729","06238"
"1730","62910"
"1731","61089"
"1732","48028"
"1733","49337"
"1734","03801"
"1735","45669"
"1736","44625"
"1737","59910"
"1738","44878"
"1739","05062"
"1740","16040"
"1741","37345"
"1742","78117"
"1743","04607"
"1744","71033"
"1745","04096"
"1746","03907"
"1747","02458"
"1748","59436"
"1749","07711"
"1750","03820"
"1751","48879"
"1752","23692"
"1753","05042"
"1754","97454"
"1755","05039"
"1756","05846"
"1757","04103"
"1758","47016"
"1759","59422"
"1760","04107"
"1761","61259"
"1762","27953"
"1763","39352"
"1764","45767"
"1765","05446"
"1766","23607"
"1767","53128"
"1768","74470"
"1769","97466"
"1770","59851"
"1771","17933"
"1772","19602"
"1773","60957"
"1774","67332"
"1775","41101"
"1776","41174"
"1777","01036"
"1778","65641"
"1779","63555"
"1780","27853"
"1781","61852"
"1782","28127"
"1783","08752"
"1784","18660"
"1785","53541"
"1786","15677"
"1787","16045"
"1788","22722"
"1789","06039"
"1790","78619"
"1791","66936"
"1792","51526"
"1793","12473"
"1794","42286"
"1795","28539"
"1796","64832"
"1797","74652"
"1798","73075"
"1799","33617"
"1800","31002"
"1801","30173"
"1802","47837"
"1803","46204"
"1804","27809"
"1805","46011"
"1806","46105"
"1807","47124"
"1808","70131"
"1809","70756"
"1810","70710"
"1811","71106"
"1812","71341"
"1813","91384"
"1814","90248"
